x y
1307.7836150335718 304.5381837201411
406.61006989005773 507.2495451878909
1105.5411961257237 1109.6527038521874
398.01024820549816 509.6480191820101
701.9997980017348 106.42655848566329
390.76667740065835 509.666349868823
881.1165521440736 907.3216159811109
206.799004971515 610.4213556091614
95.26195712697864 205.34091426725587
711.8283422313793 78.47296180616554
1318.0975424972828 297.9599610388132
692.5552636245451 103.63008356560792
101.31692356926936 200.52962090391617
1109.283517641437 1091.7065463476438
705.9246094161566 93.65190911500504
1089.8795896963388 1092.9208566723757
397.0045390109303 483.9929066146005
1103.999866318834 1109.8688764876354
709.1916457549411 99.0486153977169
100.40142222726868 208.07197140456887
403.8818918042657 518.4681318672551
902.6067570414351 902.54126444803
711.385733801935 112.84337826304085
196.98314311873054 613.2551780541852
1108.1633172745726 1096.5375437019015
901.3341519525065 908.4253652414708
1305.8737232349033 321.662852981141
915.1683417420084 911.7029246578848
1113.2537837023606 1094.3943721958046
391.4590296013254 502.22943687760585
112.04236885180616 187.80834403296203
1098.2536390514426 1103.9824636862402
122.4504387020298 207.77499776883909
210.69385878372796 606.6107157905906
196.56244104209162 600.26357499669
893.7948752302491 906.3128731883249
399.2184840116053 484.07029101911917
1303.108738363187 289.98086924601114
1310.2371275598605 307.025939760092
390.5349148143072 500.8158452666667
1090.1948285769315 1093.1548051678155
394.7798391974869 498.1684697751846
698.0951818796929 103.76452874056025
178.6889577643924 603.0922482268762
904.8258921744826 900.6047390841818
1303.3821469132647 303.7260210145875
181.5261994338463 592.3370560854786
689.5693051929763 113.63861825454025
1307.3801105755642 318.99591055109096
214.64430818103347 585.6509952043072
101.59938623819095 195.28441099183652
196.06603398485979 587.2145511962294
888.7314688610518 908.1538534737726
1302.191016606667 297.88258836667376
1301.7579136474958 309.4891863987668
707.1775327176287 95.58552837897743
98.4077185648818 201.21231298216853
916.9828024460901 901.373833509346
1103.5008885076556 1097.3283007993832
893.4162982324118 905.7676613469848
203.79184043193592 623.1071151239427
202.13040837298564 612.1350426940351
86.35522693720324 207.61010904768372
708.6820979702948 106.27189903714404
1291.5665936893913 300.1918697736865
902.1260970416374 891.4786784501752
78.6906964644279 201.8860854176633
98.97928762741785 200.2978106951792
404.5473730638244 500.04165863927176
1098.4999761216664 1103.3681652559214
